TEST Unofficial Election Results
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1414","842","0"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY)","374","236","0"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO PORTION ONLY)","456","291","0"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO PORTION ONLY)","141","78","0"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","192","101","0"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","251","136","0"
"STATE SENATOR 39TH DISTRICT","245","122","0"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO PORTION ONLY)","296","193","0"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO PORTION ONLY)","308","202","0"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","250","146","0"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","198","118","0"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","113","52","0"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","131","71","0"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","118","60","0"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1414","842","0"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","110","46","0"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","187","105","0"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","463","305","0"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","52","30","0"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","101","69","0"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","45","27","0"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","34","20","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","82","47","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","130","83","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","96","60","0"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","201","89","0"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","201","89","0"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","160","92","0"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","13","7","0"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","12","6","0"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","3","1","0"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","7","5","0"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","14","8","0"
