TEST Unofficial Election Results
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","0"
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","0","0","0","0","1414","842","0"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","0","0","0","0","1414","842","0"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","0","0","0","0","1414","842","0"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","0","0","0","0","1414","842","0"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","0","0","0","0","1414","842","0"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","0","0","0","0","1414","842","0"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY)","MIKE LEVIN","DEM","0","0","0","0","0","374","236","0"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO PORTION ONLY)","BRIAN MARYOTT","REP","0","0","0","0","0","374","236","0"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO PORTION ONLY)","DARRELL ISSA","REP","0","0","0","0","0","456","291","0"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","0","0","0","0","456","291","0"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","0","0","0","0","141","78","0"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO PORTION ONLY)","JUAN C. VARGAS","DEM","0","0","0","0","0","141","78","0"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","DEM","0","0","0","0","0","192","101","0"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","REP","0","0","0","0","0","192","101","0"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","DEM","0","0","0","0","0","251","136","0"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","DEM","0","0","0","0","0","251","136","0"
"STATE SENATOR 39TH DISTRICT","LINDA BLANKENSHIP","REP","0","0","0","0","0","245","122","0"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","DEM","0","0","0","0","0","245","122","0"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO PORTION ONLY)","RANDY VOEPEL","REP","0","0","0","0","0","296","193","0"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO PORTION ONLY)","LIZ ""ELIZABETH"" LAVERTU","DEM","0","0","0","0","0","296","193","0"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO PORTION ONLY)","KAREN ""KATE"" SCHWARTZ","DEM","0","0","0","0","0","308","202","0"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO PORTION ONLY)","MARIE WALDRON","REP","0","0","0","0","0","308","202","0"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","TASHA BOERNER HORVATH","DEM","0","0","0","0","0","250","146","0"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","MELANIE BURKHOLDER","REP","0","0","0","0","0","250","146","0"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","BRIAN MAIENSCHEIN","DEM","0","0","0","0","0","198","118","0"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","JUNE YANG CUTTER","REP","0","0","0","0","0","198","118","0"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","SARAH DAVIS","DEM","0","0","0","0","0","113","52","0"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","CHRIS WARD","DEM","0","0","0","0","0","113","52","0"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","JOHN MOORE","REP","0","0","0","0","0","131","71","0"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","SHIRLEY N. WEBER","DEM","0","0","0","0","0","131","71","0"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","LORENA GONZALEZ","DEM","0","0","0","0","0","118","60","0"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","JOHN J. VOGEL","REP","0","0","0","0","0","118","60","0"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","PAUL STARITA","","0","0","0","0","0","1414","842","0"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","TIM NADER","","0","0","0","0","0","1414","842","0"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","MARK POWELL","","0","0","0","0","0","110","46","0"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","GREGG ROBINSON","","0","0","0","0","0","110","46","0"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","GUADALUPE GONZÃLEZ","","0","0","0","0","0","187","105","0"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","TAMARA S. RODRIGUEZ","","0","0","0","0","0","187","105","0"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","PAULETTE DONNELLON","","0","0","0","0","0","463","305","0"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","JULIE SCHORR","","0","0","0","0","0","52","30","0"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","BARTOSZ ""BARTEK"" MURAWSKI","","0","0","0","0","0","52","30","0"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","ELENA ADAMS","","0","0","0","0","0","101","69","0"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","JORDAN GASCON","","0","0","0","0","0","101","69","0"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","JACQUELINE SIMON","","0","0","0","0","0","45","27","0"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","CHRIS CHEN","","0","0","0","0","0","45","27","0"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","GEORGE H. MCNEIL","","0","0","0","0","0","34","20","0"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","ANDREW JAMES REINICKE","","0","0","0","0","0","34","20","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","CHRISTIAN GARCIA","","0","0","0","0","0","82","47","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","NINA DEERFIELD","","0","0","0","0","0","82","47","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","DAVID W. VINCENT","","0","0","0","0","0","130","83","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","ROBERTO RODRIGUEZ","","0","0","0","0","0","130","83","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","BRIAN E. OLSON","","0","0","0","0","0","96","60","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","JOHN SANTHOFF","","0","0","0","0","0","96","60","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","LEE DULGEROFF","","0","0","0","0","0","96","60","0"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","EVAN KRAUSZ","","0","0","0","0","0","96","60","0"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","DANIEL PIEDRA","","0","0","0","0","0","201","89","0"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","BERNIE RHINERSON","","0","0","0","0","0","201","89","0"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","MARY GRAHAM","","0","0","0","0","0","201","89","0"
