Unofficial Election Night Final </br> (Outstanding Ballots to be Processed: 370,000)
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1254604"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","231806"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","251851"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","140987"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","329720"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","300240"
"STATE SENATOR 39TH DISTRICT","424895"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","167606"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","140050"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","196256"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","227126"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","211223"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","182625"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","129718"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1254604"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","273232"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","201314"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","257576"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","26633"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","42575"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","31297"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","25902"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","39882"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","71451"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","75160"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","400337"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","400337"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","166815"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","9259"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","8456"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","8476"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","4708"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","12006"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","20980"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","16561"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","15584"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","400033"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","400033"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","400033"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","12694"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","13235"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","9874"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","2736"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","12155"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","7266"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","15141"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","1016"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","12181"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","12537"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","42890"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","20305"
