Unofficial Election Night Final </br> (Outstanding Ballots to be Processed: 370,000)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","701278","61977","0","763255","1254604"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","349219","98126","0","447345","1254604"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","2793","608","0","3401","1254604"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","4261","641","0","4902","1254604"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","11853","2212","0","14065","1254604"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","1569","327","0","1896","1254604"
"PRESIDENT AND VICE PRESIDENT","Brian Carroll / Amar Patel","","0","23","0","0","23","1254604"
"PRESIDENT AND VICE PRESIDENT","Mark Charles / Adrian Wallace","","0","6","0","0","6","1254604"
"PRESIDENT AND VICE PRESIDENT","Joseph Kishore / Norissa Santa Cruz","","0","4","0","0","4","1254604"
"PRESIDENT AND VICE PRESIDENT","Brock Pierce / Karla Ballard","","0","0","0","0","0","1254604"
"PRESIDENT AND VICE PRESIDENT","Jesse Ventura / Cynthia McKinney","","0","7","0","0","7","1254604"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MIKE LEVIN","DEM","0","121551","9862","0","131413","231806"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","BRIAN MARYOTT","REP","0","73520","19913","0","93433","231806"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","DARRELL ISSA","REP","0","98905","28136","0","127041","251851"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","106117","10516","0","116633","251851"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","30899","9606","0","40505","140987"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN C. VARGAS","DEM","0","83685","12105","0","95790","140987"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","DEM","0","188141","12778","0","200919","329720"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","REP","0","95460","21146","0","116606","329720"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","DEM","0","94657","10210","0","104867","300240"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","DEM","0","135714","18279","0","153993","300240"
"STATE SENATOR 39TH DISTRICT","LINDA BLANKENSHIP","REP","0","107347","23923","0","131270","424895"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","DEM","0","254198","18130","0","272328","424895"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","RANDY VOEPEL","REP","0","71723","20015","0","91738","167606"
