Unofficial Election Results
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","0"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","485281","10006","0","495287","1825","0","823901"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","302471","23983","0","326454","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","200534","20070","0","220604","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","83209","1673","0","84882","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","54975","1968","0","56943","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","22748","836","0","23584","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","22956","361","0","23317","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","11530","112","0","11642","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","10771","363","0","11134","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","9802","822","0","10624","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","9966","408","0","10374","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","5954","529","0","6483","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","6011","139","0","6150","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","4931","554","0","5485","1825","0","823901"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","4321","205","0","4526","1825","0","823901"
