Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 310,000
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1825"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","485281","27694","0","512975","1825","0","877618"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","302471","59978","0","362449","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","200534","49753","0","250287","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","83209","4346","0","87555","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","54975","5495","0","60470","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","22748","2115","0","24863","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","22956","821","0","23777","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","10771","1054","0","11825","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","11530","288","0","11818","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","9802","1819","0","11621","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","9966","1471","0","11437","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","5954","1610","0","7564","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","4931","1997","0","6928","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","6011","388","0","6399","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","4321","606","0","4927","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEFF HEWITT","LIB","3755","617","0","4372","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","PATRICK KILPATRICK","DEM","4043","190","0","4233","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAN KAPELOVITZ","GRN","3100","200","0","3300","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANGELYNE","NPP","1915","163","0","2078","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANTHONY TRIMINO","REP","1046","968","0","2014","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID MOORE","NPP","1478","211","0","1689","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","TED GAINES","REP","1299","85","0","1384","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MICHAEL LOEBS","NPP","1290","48","0","1338","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENVER STONER","REP","1168","130","0","1298","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HEATHER COLLINS","GRN","995","275","0","1270","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DOUG OSE","REP","1021","65","0","1086","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","MAJOR SINGH","NPP","928","77","0","1005","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SAM L. GALLUCCI","REP","843","90","0","933","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID LOZANO","REP","828","40","0","868","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","STEVE CHAVEZ LODGE","REP","798","64","0","862","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","SARAH STEPHENS","REP","733","101","0","834","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JAMES G. HANINK","NPP","564","194","0","758","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JENNY RAE LE ROUX","REP","682","53","0","735","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID ALEXANDER BRAMANTE","REP","504","165","0","669","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAVID HILLBERG","REP","413","201","0","614","1825","0","877618"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DENNIS RICHTER","NPP","550","26","0","576","1825","0","877618"
