Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 13,000 <br /> Next Post 10/1/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1825"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","643664","27715","0","671379","1825","0","1175287"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","442131","60095","0","502226","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","303288","49934","0","353222","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","109467","4394","0","113861","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","75914","5497","0","81411","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","29261","2118","0","31379","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","30342","828","0","31170","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","15264","1840","0","17104","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","15397","1055","0","16452","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","14059","1472","0","15531","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","14868","292","0","15160","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","8722","1611","0","10333","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","7136","1998","0","9134","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","7722","391","0","8113","1825","0","1175287"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","5912","606","0","6518","1825","0","1175287"
